UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
101277,2,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",28,"R",10050,"R",11040,"R",11040,"R",11040,"R",1983,"R",2503,"R",2503,"R",2503,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8695,"R",11268,"R",11268,"R",11268,"R",7673,"R",7978,"R",7978,"R",7978,"R",6956,"R",7508,"R",7508,"R",7508,"12.0413","R",2150,"R",815,"R",650,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
102711,10,"47.0605","A",.,"A",.,"R",1260,1,"R",10,"R",38,"R",900,"R",26,"R",3490,"R",3490,"R",3963,"R",4413,"R",4099,"R",4999,"R",4999,"R",4999,"R",8579,"R",8579,"R",10545,"R",14972,"R",1900,"R",1900,"R",1900,"R",2375,"R",17575,"R",17575,"R",18525,"R",18763,"R",1900,"R",1900,"R",1900,"R",2850,"R",1900,"R",1900,"R",2375,"R",5681,"48.0508","R",4413,"R",5989,"R",1080,1,"R",9,"52.0401","R",4413,"R",2028,"R",1260,1,"R",9,"11.0401","R",4413,"R",2815,"R",1340,1,"R",10,"47.0105","R",4413,"R",2859,"R",1260,1,"R",9,"12.0504","R",4413,"R",4012,"R",1260,1,"R",9,
103501,9,"51.0801","A",.,"A",.,"R",46,2,"R",10,"R",40,"R",30,"R",30,"R",15340,"R",15340,"R",15895,"R",15895,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13030,"R",12240,"R",11020,"R",10970,"R",8410,"R",7410,"R",6670,"R",9440,"R",8410,"R",7410,"R",6670,"R",9440,"51.0713","R",12104,"A",.,"R",34,2,"R",11,"51.3501","R",15920,"A",.,"R",48,2,"R",10,"52.0305","R",24953,"A",.,"R",66,2,"R",15,"52.1001","R",24953,"A",.,"R",66,2,"R",15,"51.1009","R",9962,"A",.,"R",27,2,"R",7,
103741,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",19200,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8890,"R",9350,"R",9534,"R",9810,"R",7889,"R",8292,"R",8798,"R",9051,"R",7889,"R",8292,"R",8798,"R",9051,"12.0413","R",3500,"R",499,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103893,10,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",32,"R",36,"R",14322,"R",14322,"R",14763,"R",14763,"R",640,"R",640,"R",715,"R",715,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13293,"R",13779,"R",13779,"R",16200,"R",4239,"R",4248,"R",4248,"R",4950,"R",4374,"R",4365,"R",4365,"R",4950,"51.3801","R",49253,"R",1825,"R",72,2,"R",22,"51.0601","R",14824,"R",670,"R",36,2,"R",8,"01.8301","R",14140,"R",875,"R",29,2,"R",8,"51.0001","R",12760,"R",540,"R",60,2,"R",10,"51.0812","R",41600,"R",2298,"R",97,2,"R",22,
103909,10,"51.3801","A",.,"A",.,"R",72,2,"R",24,"R",96,"R",36,"R",36,"R",47813,"R",49253,"R",49285,"R",49253,"R",1450,"R",1450,"R",1825,"R",1825,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",39600,"R",41400,"R",41400,"R",43200,"R",12480,"R",12720,"R",12720,"R",13200,"R",12480,"R",12720,"R",12720,"R",13200,"51.0801","R",14763,"R",715,"R",36,2,"R",8,"51.0602","R",55100,"R",5867,"R",83,2,"R",18,"51.0601","R",14824,"R",670,"R",36,2,"R",8,"01.8301","R",14140,"R",875,"R",29,2,"R",8,"51.0714","R",14608,"R",1129,"R",36,2,"R",8,
103927,9,"51.0801","A",.,"A",.,"R",36,2,"R",9,"R",36,"R",36,"R",36,"R",14322,"R",14508,"R",14763,"R",14763,"R",625,"R",640,"R",715,"R",715,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14850,"R",15525,"R",15525,"R",16200,"R",4680,"R",4770,"R",4770,"R",4950,"R",4680,"R",4770,"R",4770,"R",4950,"51.3801","R",49253,"R",1825,"R",72,2,"R",22,"51.0601","R",14824,"R",670,"R",36,2,"R",8,"01.8301","R",14140,"R",875,"R",29,2,"R",8,"51.3501","R",13297,"R",1180,"R",35,2,"R",8,"51.0714","R",14608,"R",1129,"R",36,2,"R",8,
103954,3,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",30,"R",14500,"R",14500,"R",17700,"R",17700,"R",1150,"R",1150,"R",1150,"R",1175,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8541,"R",9165,"R",14144,"R",10400,"R",7930,"R",9568,"R",13494,"R",11973,"R",6370,"R",4914,"R",2145,"R",2821,"12.0410","R",5500,"R",1175,"R",600,1,"R",5,"12.0413","R",4475,"R",300,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
103963,4,"48.0508","A",.,"A",.,"R",960,1,"R",10,"R",40,"R",900,"R",36,"R",19220,"R",19220,"R",20663,"R",20663,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10000,"R",10200,"R",10400,"R",10610,"R",10940,"R",11160,"R",11380,"R",11610,"R",10940,"R",11160,"R",11380,"R",10610,"47.0604","R",24640,"A",.,"R",1000,1,"R",13,"47.0201","R",20040,"A",.,"R",800,1,"R",10,"47.0605","R",24640,"A",.,"R",1000,1,"R",13,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104090,24,"51.3801","A",.,"A",.,"R",122,2,"R",30,"R",120,"R",30,"R",30,"R",85000,"R",85000,"R",85000,"R",85000,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",36000,"R",36000,"R",36000,"R",48840,"R",31080,"R",31080,"R",31080,"R",31080,"R",28800,"R",28800,"R",28800,"R",32640,"51.0805","R",15225,"R",0,"R",28,2,"R",8,"51.0000","R",30000,"R",0,"R",60,2,"R",16,"51.0705","R",15225,"R",0,"R",28,2,"R",8,"51.3902","R",15225,"R",0,"R",28,2,"R",8,"51.1004","R",30000,"R",0,"R",60,2,"R",16,
